CPU,GPU,Anomaly
0.0,9.0,-1
23.3,17.0,1
23.8,14.000000000000002,1
18.3,23.0,1
17.6,18.0,1
21.0,19.0,1
16.7,14.000000000000002,1
12.7,15.0,1
15.2,19.0,1
16.0,18.0,1
17.3,12.0,1
18.7,18.0,1
14.8,17.0,1
17.4,19.0,1
15.7,18.0,1
14.9,13.0,1
14.9,16.0,1
15.9,11.0,1
16.7,12.0,1
14.6,14.000000000000002,1
15.8,11.0,1
12.9,12.0,1
14.5,14.000000000000002,1
16.8,9.0,1
14.9,15.0,1
16.6,12.0,1
12.1,12.0,1
10.7,11.0,1
12.8,16.0,1
15.2,13.0,1
15.0,12.0,1
20.3,25.0,-1
14.5,19.0,1
18.5,21.0,1
17.8,16.0,1
15.1,13.0,1
16.6,29.0,-1
14.0,22.0,1
15.6,26.0,1
13.5,27.0,1
24.9,22.0,-1
